well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0690,L18,239999.8984,119516.4677,1186.7195,0.0,51.03,0.5473086
W0691,L18,239951.2404,120662.4012,1112.6,0.0,65.14,0.5520861
W0692,L18,240037.2091,120947.9667,1136,0.0,42.73,0.6198811
W0698,L03,240149.1986,119551.5888,1381.7,0.415,36.92,0.6185889
W0701,L01,239482.6079,119811.8631,1238.1995,0.44,29.45,0.657
W0714,L09,240193.4649,118338.8452,1515.2555,0.365,13.68,0.4650355
W0715,L07,238374.9499,119655.4779,1456.346,0.3775,24.47,0.4866025
W0718,L14,239673.2638,119519.1894,1878.248,0.4275,57.67,0.4737988
W0721,L09,240920.5095,121273.0418,1537.544,0.415,17.83,0.5174697
W0724,L09,239175.8606,118928.2374,1619.444,0.415,46.88,0.5280621
W0725,L12,240476.6273,122355.9325,1669.754,0.3525,24.47,0.5572367
W0728,L10,239697.901,119870.2544,1681.688,0.4275,73.44,0.415941
W0731,L07,241266.8357,120993.5347,1524.206,0.39,25.3,0.3918442
W0735,L11,240880.709,120110.2492,1563.635,0.3775,23.64,0.4536696
W0736,L06,240197.258,120590.5823,1407.9665,0.4025,37.75,0.4869938
W0745,L09,239732.02,120477.4985,1433.297,0.3275,23.64,0.5426676
W0746,L09,240182.0993,120881.8575,1441.3115,0.3025,16.17,0.5615228
W0748,L08,239354.5745,118740.3511,1619.912,0.39,17.83,0.4808968
W0749,L12,240160.4112,119715.6838,1305.182,0.4525,85.89,0.427043
W0750,L12,240144.7402,120811.8422,1135.649,0.4525,41.07,0.4851556
